,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_name
ENSG00000146676,-0.0092937,4.563189324,-0.123455154,0.901997421,0.955187265,-6.571641984,PURB
ENSG00000153002,0.040774587,0.766755809,0.123374995,0.902061059,0.955187265,-5.863830747,CPB1
ENSG00000100626,-0.014734903,1.545080404,-0.123369473,0.90206509,0.955187265,-5.955330424,GALNT16
ENSG00000122133,0.063630967,-0.228005171,0.123337572,0.902090614,0.955187265,-5.584384173,PAEP
ENSG00000155666,-0.025864268,3.326798448,-0.123148208,0.902240171,0.955231165,-6.367995606,KDM8
ENSG00000152128,-0.032778479,0.009614024,-0.123129548,0.902254846,0.955231165,-5.649383379,TMEM163
ENSG00000127838,-0.018548536,4.611364311,-0.123006631,0.902351988,0.955269018,-6.586878302,PNKD
ENSG00000127663,-0.014476719,7.07773163,-0.12284921,0.902476322,0.95533565,-6.690730668,KDM4B
ENSG00000113812,-0.013306968,4.222106872,-0.122564232,0.902701408,0.955508919,-6.522219158,ACTR8
ENSG00000183527,0.022030426,3.027088302,0.122394524,0.902835454,0.955568278,-6.290102482,PSMG1
ENSG00000136206,-0.013176229,3.3827113,-0.122327537,0.902888038,0.955568278,-6.355233244,SPDYE1
ENSG00000078902,-0.013790783,5.954133104,-0.122223595,0.902970466,0.955568278,-6.700617067,TOLLIP
ENSG00000166747,0.006784368,6.940234848,0.122140984,0.903035394,0.955568278,-6.694222455,AP1G1
ENSG00000147383,-0.029951257,1.238321515,-0.122102063,0.903066464,0.955568278,-5.90937126,NSDHL
ENSG00000147536,-0.022768281,2.78121082,-0.122026774,0.903125935,0.955568278,-6.237498715,GINS4
ENSG00000131873,-0.021168103,7.248452855,-0.121771629,0.903327477,0.95571654,-6.683994127,CHSY1
ENSG00000143207,0.012747098,8.44998655,0.121373617,0.903641886,0.955898318,-6.628611268,COP1
ENSG00000113430,0.038546188,-0.175463308,0.121325327,0.903680033,0.955898318,-5.612400011,IRX4
ENSG00000089123,0.02611233,2.818989169,0.121291342,0.903706881,0.955898318,-6.225293213,TASP1
ENSG00000113161,0.011559391,6.849699106,0.121077951,0.903875456,0.955898318,-6.695087828,HMGCR
ENSG00000108523,-0.010881258,6.622854771,-0.121054629,0.903893881,0.955898318,-6.702356938,RNF167
ENSG00000111319,0.033186252,2.419755607,0.120982705,0.903950701,0.955898318,-6.139337879,SCNN1A
ENSG00000113269,0.015400909,7.870035171,0.120957113,0.903970919,0.955898318,-6.656310985,RNF130
ENSG00000160862,0.046617152,0.72671456,0.120932044,0.903990723,0.955898318,-5.839055586,AZGP1
ENSG00000213015,-0.017639313,4.304621386,-0.120736477,0.904145225,0.955996728,-6.52332628,ZNF580
ENSG00000099341,0.009085052,5.737199982,0.120646028,0.90421636,0.955997812,-6.69058182,PSMD8
ENSG00000151729,0.026866899,0.61247494,0.120523203,0.904313585,0.955997812,-5.777845507,SLC25A4
ENSG00000183208,0.011543818,2.824706448,0.120481204,0.904346579,0.955997812,-6.222725313,GDPGP1
ENSG00000233024,0.027610654,3.304139006,0.120362318,0.904440828,0.955997812,-6.311418063,NPIPA9
ENSG00000186812,0.008946184,5.439276203,0.120331184,0.904465105,0.955997812,-6.676045178,ZNF397
ENSG00000197405,-0.017834376,8.113882504,-0.120206297,0.904564096,0.955997812,-6.647595917,C5AR1
ENSG00000122824,0.046741106,-1.41561401,0.120190853,0.904576298,0.955997812,-5.469690487,NUDT10
ENSG00000241127,-0.043558224,2.636740463,-0.12001912,0.904711983,0.956014673,-6.130356851,YAE1
ENSG00000181856,0.034174999,-0.295205981,0.119980809,0.904742252,0.956014673,-5.635610317,SLC2A4
ENSG00000198162,-0.008155314,5.054850914,-0.119901546,0.904804557,0.956014673,-6.638648804,MAN1A2
ENSG00000151287,0.024588243,2.310505676,0.11970103,0.904963309,0.956014673,-6.119703813,TEX30
ENSG00000205090,0.055850258,-0.708142163,0.119611747,0.905033854,0.956014673,-5.545506734,TMEM240
ENSG00000131381,0.010766393,4.775580126,0.11957509,0.905062559,0.956014673,-6.602341452,RBSN
ENSG00000172927,0.034109794,2.662752279,0.119565182,0.905070647,0.956014673,-6.244814831,MYEOV
ENSG00000129744,0.049545953,-0.740743379,0.119548606,0.905083745,0.956014673,-5.53229424,ART1
ENSG00000111615,-0.014935411,6.380011248,-0.119444076,0.905166339,0.956026308,-6.703920612,KRR1
ENSG00000173898,-0.057440954,-0.284393185,-0.119379157,0.905217635,0.956026308,-5.63499757,SPTBN2
ENSG00000120963,-0.013949501,6.362383855,-0.118930539,0.905572124,0.956335787,-6.704088444,ZNF706
ENSG00000009413,-0.011656074,5.532646353,-0.118800534,0.905674855,0.956366881,-6.682045688,REV3L
ENSG00000267673,-0.058250942,-0.385979637,-0.118737727,0.905724486,0.956366881,-5.521903455,FDX2
ENSG00000163864,0.009120432,4.090222755,0.11861222,0.905823348,0.95636689,-6.508841487,NMNAT3
ENSG00000165757,0.026802262,0.008818709,0.118581781,0.905847413,0.95636689,-5.697265862,JCAD
ENSG00000148225,-0.015375039,0.993947969,-0.118323124,0.906051806,0.956517785,-5.837930201,WDR31
ENSG00000186281,-0.043622785,-0.63297788,-0.118231721,0.906124354,0.95652948,-5.534841118,GPAT2
ENSG00000183479,-0.051545845,-0.990390909,-0.118111275,0.906219539,0.956557728,-5.482028394,TREX2
ENSG00000133961,0.015503817,8.773744193,0.118042292,0.906274055,0.956557728,-6.613321663,NUMB
ENSG00000175756,0.011440224,4.709873215,0.117569018,0.906648028,0.956709073,-6.598043683,AURKAIP1
ENSG00000087470,-0.015095455,6.123352289,-0.117549081,0.906663844,0.956709073,-6.703418959,DNM1L
ENSG00000111679,-0.011628814,7.834204993,-0.117503217,0.906700092,0.956709073,-6.66202563,PTPN6
ENSG00000157330,-0.020495207,1.574704579,-0.117425129,0.906761592,0.956709073,-5.973809957,C1orf158
ENSG00000167065,-0.013254037,5.09500094,-0.117357356,0.906815372,0.956709073,-6.645400897,DUSP18
ENSG00000183808,-0.01453184,6.098321842,-0.11731709,0.906847196,0.956709073,-6.702995396,RBM12B
ENSG00000138095,0.017007105,4.777065473,0.117182871,0.906953278,0.956709073,-6.601610184,LRPPRC
ENSG00000171792,0.012839569,4.411040034,0.116930212,0.907152974,0.956709073,-6.548215883,RHNO1
ENSG00000164654,0.015532515,4.618142669,0.116907453,0.907170962,0.956709073,-6.590639423,MIOS
ENSG00000163563,-0.016856693,10.78635845,-0.116884199,0.907189342,0.956709073,-6.501188652,MNDA
ENSG00000116983,0.04328717,-1.161578682,0.1168353,0.907227991,0.956709073,-5.49701018,HPCAL4
ENSG00000103740,-0.015832465,3.072783539,-0.116832495,0.907230208,0.956709073,-6.307910806,ACSBG1
ENSG00000124541,0.009756346,4.500494833,0.116783678,0.907268481,0.956709073,-6.567567875,RRP36
ENSG00000145362,0.049394461,-1.199411027,0.116771799,0.907278182,0.956709073,-5.46713617,ANK2
ENSG00000147224,-0.011264379,5.198730198,-0.115588059,0.908213881,0.957630858,-6.65972853,PRPS1
ENSG00000169239,-0.011787892,5.693346707,-0.115253321,0.908478501,0.957763209,-6.694318557,CA5B
ENSG00000133895,0.020798243,1.737945988,0.115231234,0.90849582,0.957763209,-5.968356282,MEN1
ENSG00000129003,0.01246902,6.765493544,0.115126406,0.908578834,0.957763209,-6.699532642,VPS13C
ENSG00000007080,0.016301939,4.253080006,0.114953954,0.908715168,0.957763209,-6.514841623,CCDC124
ENSG00000086730,0.016511292,7.394178946,0.114937571,0.90872812,0.957763209,-6.679280517,LAT2
ENSG00000130307,0.027812077,1.804349513,0.114928818,0.90873504,0.957763209,-6.015386337,USHBP1
ENSG00000121691,-0.01539878,7.768262546,-0.114884288,0.908770245,0.957763209,-6.665045163,CAT
ENSG00000100749,-0.018834529,5.396974521,-0.1147581,0.908870007,0.95780348,-6.676552828,VRK1
ENSG00000196313,0.008304172,3.958373478,0.114553256,0.90903165,0.957908953,-6.469274853,POM121
ENSG00000169957,0.016514859,2.042500765,0.114313946,0.909220854,0.958043453,-6.080541813,ZNF768
ENSG00000110619,0.009180599,6.056565095,0.114041306,0.90943646,0.958205752,-6.702789711,CARS1
ENSG00000066322,0.009282692,5.540676678,0.113355331,0.909978853,0.958712318,-6.681961561,ELOVL1
ENSG00000250021,0.071771353,-1.088660027,0.113026453,0.910239167,0.958921649,-5.440814463,ARPIN-AP3S2
ENSG00000122432,0.013769158,7.080293278,0.11293754,0.910309475,0.958930798,-6.689721543,SPATA1
ENSG00000174109,0.036126325,0.947158714,0.112619196,0.910561212,0.959077896,-5.81248353,C16orf91
ENSG00000157191,-0.008561341,5.906055228,-0.11260469,0.910572382,0.959077896,-6.700376185,NECAP2
ENSG00000205268,0.010451156,7.211844634,0.112414276,0.910723261,0.959171889,-6.686919457,PDE7A
ENSG00000116251,0.017665746,6.146200926,0.112183267,0.910905946,0.959299366,-6.704770028,RPL22
ENSG00000161594,-0.044200945,-1.595784371,-0.11197832,0.911068025,0.959405125,-5.396230857,KLHL10
ENSG00000167491,-0.012125469,6.651733905,-0.111493507,0.911451446,0.95974394,-6.702836297,GATAD2A
ENSG00000093000,0.008343771,7.550968044,0.111353245,0.911562081,0.95979549,-6.673093627,NUP50
ENSG00000172809,-0.010048999,9.181742568,-0.110997566,0.911843436,0.960026773,-6.591085001,RPL38
